Seed|Collisions|Spread|Total
0|1255668|1016317.44284|2271985.44284
1|1255415|1016694.72698|2272109.72698
2|1257356|1017597.05539|2274953.05539
3|1256652|1017408.23821|2274060.23821
4|1256823|1017392.09577|2274215.09577
5|1256094|1016366.38490|2272460.38490
6|1256064|1018137.57284|2274201.57284
7|1256841|1017320.12286|2274161.12286
8|1255048|1015884.61996|2270932.61996
9|1255781|1016143.42464|2271924.42464
10|1257726|1018179.90989|2275905.90989
11|1256221|1016282.22357|2272503.22357
12|1257432|1017442.79024|2274874.79024
13|1257105|1018666.27070|2275771.27070
14|1256614|1017449.23189|2274063.23189
15|1256155|1016946.58188|2273101.58188
16|1257291|1017578.04926|2274869.04926
17|1255903|1017172.63697|2273075.63697
18|1256233|1018185.43055|2274418.43055
19|1255362|1018233.89153|2273595.89153
20|1256348|1017338.36325|2273686.36325
21|1256818|1018056.22406|2274874.22406
22|1256713|1018217.35550|2274930.35550
23|1256375|1017623.47001|2273998.47001
24|1255615|1017085.66201|2272700.66201
25|1255360|1015265.62322|2270625.62322
26|1255166|1015885.64255|2271051.64255
27|1254269|1014989.89184|2269258.89184
28|1255609|1015425.39920|2271034.39920
29|1254363|1014140.63728|2268503.63728
30|1254629|1015284.86919|2269913.86919
31|1254256|1013605.63540|2267861.63540
32|1254717|1015023.84792|2269740.84792
33|1254365|1015082.85783|2269447.85783
34|1255602|1017372.68415|2272974.68415
35|1255041|1015157.54442|2270198.54442
36|1255862|1015692.32468|2271554.32468
37|1255532|1016099.40640|2271631.40640
38|1254596|1016058.97881|2270654.97881
39|1255693|1016339.43182|2272032.43182
40|1255747|1017794.75876|2273541.75876
41|1255243|1015921.61503|2271164.61503
42|1253908|1014950.99159|2268858.99159
43|1255850|1017147.70117|2272997.70117
44|1255032|1015903.67826|2270935.67826
45|1256029|1017077.41438|2273106.41438
46|1255145|1016823.73193|2271968.73193
47|1255010|1015266.66498|2270276.66498
48|1255711|1014659.17283|2270370.17283
49|1254202|1014619.91161|2268821.91161
50|1254919|1015683.76294|2270602.76294
51|1255088|1015745.83452|2270833.83452
52|1255645|1015999.46632|2271644.46632
53|1255288|1015074.65518|2270362.65518
54|1255727|1016126.28981|2271853.28981
55|1256760|1016810.95903|2273570.95903
56|1256329|1015526.96714|2271855.96714
57|1254967|1014525.52452|2269492.52452
58|1255894|1016196.49812|2272090.49812
59|1255991|1016051.32853|2272042.32853
60|1255229|1016453.82023|2271682.82023
61|1256073|1016435.30265|2272508.30265
62|1255032|1015888.73267|2270920.73267
63|1256540|1016796.22273|2273336.22273
64|1255772|1015957.46407|2271729.46407
65|1254862|1016577.88997|2271439.88997
66|1254942|1014715.38126|2269657.38126
67|1255605|1015940.52111|2271545.52111
68|1255243|1016401.70908|2271644.70908
69|1255789|1015563.28166|2271352.28166
70|1255485|1016528.72882|2272013.72882
71|1255296|1016666.79265|2271962.79265
72|1256499|1016057.94806|2272556.94806
73|1256071|1016681.43593|2272752.43593
74|1255189|1014408.40816|2269597.40816
75|1255151|1015938.69380|2271089.69380
76|1255514|1015882.64836|2271396.64836
77|1255951|1017270.62301|2273221.62301
78|1256177|1016779.39702|2272956.39702
79|1255215|1015319.56677|2270534.56677
80|1255086|1015866.52018|2270952.52018
81|1255324|1015809.56697|2271133.56697
82|1255043|1015364.72564|2270407.72564
83|1253987|1014667.15773|2268654.15773
84|1255606|1016416.44955|2272022.44955
85|1256151|1016123.14835|2272274.14835
86|1256788|1016508.94135|2273296.94135
87|1255469|1016832.70851|2272301.70851
88|1254768|1016158.02883|2270926.02883
89|1255859|1016359.56188|2272218.56188
90|1255473|1015767.39943|2271240.39943
91|1255951|1016040.13308|2271991.13308
92|1255309|1016595.94947|2271904.94947
93|1255402|1016133.63785|2271535.63785
94|1255781|1016272.50465|2272053.50465
95|1256394|1017105.29364|2273499.29364
96|1255606|1016587.69270|2272193.69270
97|1256884|1017264.08351|2274148.08351
98|1256736|1016887.26953|2273623.26953
99|1255074|1014842.43283|2269916.43283
100|1254633|1015385.79689|2270018.79689
101|1256674|1018542.20377|2275216.20377
102|1256017|1017415.59772|2273432.59772
103|1254848|1016501.87541|2271349.87541
104|1256937|1017043.18865|2273980.18865
105|1254810|1015681.89207|2270491.89207
106|1256071|1016501.49420|2272572.49420
107|1257152|1016925.05390|2274077.05390
108|1256994|1016586.05431|2273580.05431
109|1254892|1015552.54261|2270444.54261
110|1257018|1016011.82168|2273029.82168
111|1255264|1015697.66975|2270961.66975
112|1256764|1016982.19202|2273746.19202
113|1254842|1015314.62358|2270156.62358
114|1255614|1016219.46258|2271833.46258
115|1256123|1017200.36798|2273323.36798
116|1256820|1017115.33661|2273935.33661
117|1255472|1016196.60936|2271668.60936
118|1256031|1015282.17021|2271313.17021
119|1255526|1015490.49006|2271016.49006
120|1256067|1016943.42910|2273010.42910
121|1255151|1015985.70740|2271136.70740
122|1256083|1016122.21147|2272205.21147
123|1256360|1016944.34612|2273304.34612
124|1254374|1013724.60733|2268098.60733
125|1255778|1016459.59573|2272237.59573
126|1254735|1015223.75053|2269958.75053
127|1256139|1017079.42150|2273218.42150
128|1254761|1015348.04808|2270109.04808
129|1255833|1016014.56076|2271847.56076
130|1254535|1016219.31530|2270754.31530
131|1255025|1015706.84881|2270731.84881
132|1255355|1015695.60969|2271050.60969
133|1256029|1015748.17884|2271777.17884
134|1255670|1016390.49985|2272060.49985
135|1255706|1014704.01569|2270410.01569
136|1255614|1015068.44123|2270682.44123
137|1254861|1016422.72879|2271283.72879
138|1254164|1014475.74018|2268639.74018
139|1254578|1014558.69389|2269136.69389
140|1255152|1015640.43754|2270792.43754
141|1254327|1016558.15749|2270885.15749
142|1257238|1016804.00684|2274042.00684
143|1254625|1015967.78987|2270592.78987
